"","forecastedValues","actualValues","lowerCI","upperCI","Date"
"1",1827.67928884513,1812.434967,1762.12306657576,1893.2355111145,2014-01-01
"2",1833.67296830212,1811.992523,1709.19811147862,1958.14782512562,2014-02-01
"3",1839.66664775911,1862.107483,1676.29479680482,2003.03849871339,2014-03-01
"4",1845.6603272161,1867.387482,1651.01517986526,2040.30547456693,2014-04-01
"5",1851.65400667309,1897.945007,1630.10693472171,2073.20107862446,2014-05-01
"6",1857.64768613007,1942.0625,1612.12889500966,2103.16647725049,2014-06-01
"7",1863.64136558706,1953.755036,1596.29169101044,2130.99104016369,2014-07-01
"8",1869.63504504405,1960.747528,1582.10727212598,2157.16281796213,2014-08-01
"9",1875.62872450104,1989.915009,1569.248908093,2182.00854090909,2014-09-01
"10",1881.62240395803,1957.084991,1557.48514351853,2205.75966439753,2014-10-01
"11",1887.61608341502,2040.63501,1546.64491849308,2228.58724833696,2014-11-01
"12",1893.60976287201,2047.69751,1536.59756838669,2250.62195735733,2014-12-01
"13",1899.603442329,2028.592499,1527.24061024955,2271.96627440844,2015-01-01
"14",1905.59712178599,2050.415039,1518.49190299241,2292.70234057956,2015-02-01
"15",1911.59080124298,2082.582459,1510.28440692534,2312.89719556061,2015-03-01
"16",1917.58448069997,2081.859925,1502.56256100991,2332.60640039003,2015-04-01
"17",1923.57816015696,2099.35492,1495.27970635841,2351.8766139555,2015-05-01
"18",1929.57183961394,2089.485046,1488.39620879418,2370.74747043371,2015-06-01
"19",1935.56551907093,2086.920044,1481.87806174792,2389.25297639395,2015-07-01
"20",1941.55919852792,2014.084992,1475.69582731784,2407.422569738,2015-08-01
"21",1947.55287798491,1945.722504,1469.82382052847,2425.28193544135,2015-09-01
"22",1953.5465574419,1996.757538,1464.23947181855,2442.85364306525,2015-10-01
"23",1959.54023689889,2074.259979,1458.92282235539,2460.15765144239,2015-11-01
"24",1965.53391635588,2056.099976,1453.85611984013,2477.21171287163,2015-12-01
